E_minus_EF_eV,energia_meV,DOS_electronica
-52.92400000000001,-52924.00000000001,-1.3542737794595026e-06
-52.874,-52874.0,-3.302868246562735e-07
-52.824,-52824.0,-7.514869647377442e-08
-52.774,-52774.0,-1.5909376060081974e-08
-52.724,-52724.0,-3.169775225842048e-09
-52.67400000000001,-52674.00000000001,-5.867375573090827e-10
-52.624,-52624.0,-1.0215867707551392e-10
-52.574,-52574.0,-1.6631801644417277e-11
-52.524,-52524.0,-2.524440058962914e-12
-52.474,-52474.0,-3.591907379307983e-13
-52.42400000000001,-52424.00000000001,-4.7404947206743875e-14
-52.374,-52374.0,-5.913937001536757e-15
-52.324,-52324.0,-6.804408887061934e-16
-52.274,-52274.0,-7.421312711966576e-17
-52.224,-52224.0,-7.523585756665871e-18
-52.17400000000001,-52174.00000000001,-7.088160413651634e-19
-52.124,-52124.0,-6.295721412815618e-20
-52.074,-52074.0,-5.205814350524949e-21
-52.024,-52024.0,-4.036567873232977e-22
-51.974,-51974.0,-2.918003223046546e-23
-51.92400000000001,-51924.00000000001,-1.976816104038545e-24
-51.874,-51874.0,-1.2463875742958673e-25
-51.824,-51824.0,-7.33931808974952e-27
-51.774,-51774.0,-4.0693014118980175e-28
-51.724,-51724.0,-2.0982105483750852e-29
-51.67400000000001,-51674.00000000001,-1.0140448031208736e-30
-51.624,-51624.0,-4.546956634596561e-32
-51.574,-51574.0,-1.9260606006543282e-33
-51.524,-51524.0,-7.549752207284593e-35
-51.474,-51474.0,-2.774508893398758e-36
-51.42400000000001,-51424.00000000001,-9.579784939760605e-38
-51.374,-51374.0,-3.0880436692283127e-39
-51.324,-51324.0,-9.208007710536566e-41
-51.274,-51274.0,-2.6063771741282957e-42
-51.224,-51224.0,-6.790668883128117e-44
-51.17400000000001,-51174.00000000001,-1.6735183536777638e-45
-51.124,-51124.0,-3.8484433518769526e-47
-51.074,-51074.0,-8.232731871196396e-49
-51.024,-51024.0,-1.6383956982539382e-50
-50.974,-50974.0,-3.0766223799959125e-52
-50.92400000000001,-50924.00000000001,-5.381265195841871e-54
-50.874,-50874.0,-8.791535028336103e-56
-50.824,-50824.0,-1.3497810648410833e-57
-50.774,-50774.0,-1.9279652828047826e-59
-50.724,-50724.0,-2.555101241936677e-61
-50.67400000000001,-50674.00000000001,-3.2103047953554106e-63
-50.624,-50624.0,-3.744084355464556e-65
-50.574,-50574.0,-4.064093532954359e-67
-50.524,-50524.0,-4.147309140490236e-69
-50.474,-50474.0,-3.9454209129746964e-71
-50.42400000000001,-50424.00000000001,-3.5037479637115194e-73
-50.374,-50374.0,-2.9223062199271027e-75
-50.324,-50324.0,-2.267722612735676e-77
-50.274,-50274.0,-1.6664284654940213e-79
-50.224,-50224.0,-2.766750840740808e-81
-50.17400000000001,-50174.00000000001,-1.6559857476850706e-81
-50.124,-50124.0,-1.6461131037703194e-81
-50.074,-50074.0,-1.643838730011125e-81
-50.024,-50024.0,-1.628854652676572e-81
-49.974,-49974.0,-1.6313986563068355e-81
-49.92400000000001,-49924.00000000001,-1.6290760161687292e-81
-49.874,-49874.0,-1.625928470719247e-81
-49.824,-49824.0,-1.6165089485842938e-81
-49.774,-49774.0,-1.6128134122448367e-81
-49.724,-49724.0,-1.6184488652996036e-81
-49.67400000000001,-49674.00000000001,-1.6178976669611622e-81
-49.624,-49624.0,-1.6063409072373847e-81
-49.574,-49574.0,-1.6063856694641886e-81
-49.524,-49524.0,-1.60222421178288e-81
-49.474,-49474.0,-1.60637067685258e-81
-49.42400000000001,-49424.00000000001,-1.6045435349762632e-81
-49.374,-49374.0,-1.597395233325939e-81
-49.324,-49324.0,-1.598611543641774e-81
-49.274,-49274.0,-1.5826978171110906e-81
-49.224,-49224.0,-1.5766279983098069e-81
-49.17400000000001,-49174.00000000001,-1.5747999555139574e-81
-49.124,-49124.0,-1.572764580046704e-81
-49.074,-49074.0,-1.5815375771162535e-81
-49.024,-49024.0,-1.569442383678313e-81
-48.974,-48974.0,-1.5673790141451202e-81
-48.92400000000001,-48924.00000000001,-1.5693000194981604e-81
-48.874,-48874.0,-1.5566675814638192e-81
-48.824,-48824.0,-1.564915268042952e-81
-48.774,-48774.0,-1.5616532055145615e-81
-48.724,-48724.0,-1.5491618009140747e-81
-48.67400000000001,-48674.00000000001,-1.5459414348422447e-81
-48.624,-48624.0,-1.5455956496936714e-81
-48.574,-48574.0,-1.53896421987295e-81
-48.524,-48524.0,-1.5373054159499835e-81
-48.474,-48474.0,-1.532254875069237e-81
-48.42400000000001,-48424.00000000001,-1.5370915884649103e-81
-48.374,-48374.0,-1.5303665100150447e-81
-48.324,-48324.0,-1.5333271179877832e-81
-48.274,-48274.0,-1.5261740857856791e-81
-48.224,-48224.0,-1.5271170112717087e-81
-48.17400000000001,-48174.00000000001,-1.5116790963357722e-81
-48.124,-48124.0,-1.5151891225078295e-81
-48.074,-48074.0,-1.5144014983730844e-81
-48.024,-48024.0,-1.512008310764309e-81
-47.974,-47974.0,-1.5058872859615406e-81
-47.92400000000001,-47924.00000000001,-1.5013694676998427e-81
-47.874,-47874.0,-1.500151503580723e-81
-47.824,-47824.0,-1.4881748014146574e-81
-47.774,-47774.0,-1.4986089852485171e-81
-47.724,-47724.0,-1.4822406692470152e-81
-47.67400000000001,-47674.00000000001,-1.4847556968966064e-81
-47.624,-47624.0,-1.4823330251301739e-81
-47.574,-47574.0,-1.473880938176494e-81
-47.524,-47524.0,-1.4818569558271832e-81
-47.474,-47474.0,-1.473721229210181e-81
-47.42400000000001,-47424.00000000001,-1.4711901181884623e-81
-47.374,-47374.0,-1.4629813396237706e-81
-47.324,-47324.0,-1.4643858326238286e-81
-47.274,-47274.0,-1.4620133807412872e-81
-47.224,-47224.0,-1.457322427672618e-81
-47.17400000000001,-47174.00000000001,-1.461080775409471e-81
-47.124,-47124.0,-1.451884266398711e-81
-47.074,-47074.0,-1.444214496485879e-81
-47.024,-47024.0,-1.4459668252251728e-81
-46.974,-46974.0,-1.4478582464421638e-81
-46.92400000000001,-46924.00000000001,-1.4371464621441304e-81
-46.874,-46874.0,-1.432964180849289e-81
-46.824,-46824.0,-1.4287591310554143e-81
-46.774,-46774.0,-1.425259562698688e-81
-46.724,-46724.0,-1.4228570564146222e-81
-46.67400000000001,-46674.00000000001,-1.4213518033786454e-81
-46.624,-46624.0,-1.4158572827201506e-81
-46.574,-46574.0,-1.4133421231858554e-81
-46.524,-46524.0,-1.4091497685520155e-81
-46.474,-46474.0,-1.4115572432004042e-81
-46.42400000000001,-46424.00000000001,-1.4095751604522155e-81
-46.374,-46374.0,-1.4078294885099034e-81
-46.324,-46324.0,-1.407617019465872e-81
-46.274,-46274.0,-1.3968334332562646e-81
-46.224,-46224.0,-1.4044271060882022e-81
-46.17400000000001,-46174.00000000001,-1.3884891257238183e-81
-46.124,-46124.0,-1.3864024969843714e-81
-46.074,-46074.0,-1.3846136425730371e-81
-46.024,-46024.0,-1.3869061488125978e-81
-45.974,-45974.0,-1.3833725788442102e-81
-45.92400000000001,-45924.00000000001,-1.3848159495549443e-81
-45.874,-45874.0,-1.3758795695480055e-81
-45.824,-45824.0,-1.3720513704146264e-81
-45.774,-45774.0,-1.3675420768476529e-81
-45.724,-45724.0,-1.3639791578649635e-81
-45.67400000000001,-45674.00000000001,-1.358657626541041e-81
-45.624,-45624.0,-1.3609911183867776e-81
-45.574,-45574.0,-1.3529252358457026e-81
-45.524,-45524.0,-1.3592499546734674e-81
-45.474,-45474.0,-1.3594842187838243e-81
-45.42400000000001,-45424.00000000001,-1.3517123020112327e-81
-45.374,-45374.0,-1.343724118433557e-81
-45.324,-45324.0,-1.3447921718236807e-81
-45.274,-45274.0,-1.3405262381928214e-81
-45.224,-45224.0,-1.345391726146646e-81
-45.17400000000001,-45174.00000000001,-1.3369769329978407e-81
