frecuencia_THz,energia_meV,DOS_original,DOS_nueva
0.0,0.0,0.0,0.0
0.012492124793661198,0.05166327696125195,3.2476898664e-07,3.1761233178848336e-07
0.024984249587322396,0.1033265539225039,1.2990804354e-06,1.2886605624908718e-06
0.037476374381882976,0.15498983088747537,2.9229343463e-06,2.9127141922095753e-06
0.049968499175843964,0.20665310784996715,5.1963307193e-06,5.113285975009611e-06
0.06246062396980496,0.25831638481245894,8.1192695545e-06,8.021506445985153e-06
0.07495274876376595,0.30997966177495073,3.1048987539e-05,3.040232504730893e-05
0.08744487355472902,0.3616429387250441,4.3034503025e-05,4.2782814240418496e-05
0.09993699834869,0.4133062156875359,5.0758870886e-05,5.150507998567661e-05
0.11242912314265101,0.4649694926500277,6.9414372683e-05,7.094712448197864e-05
0.124921247936612,0.5166327696125195,0.00010259399114,9.965788184259641e-05
0.13741337273057297,0.5682960465750112,0.00011307061799,0.00011076041547567981
0.14990549752453397,0.619959323537503,0.00023165314837,0.0002302765628092405
0.16239762231849497,0.6716226004999949,0.00017639340558,0.00017676525301443406
0.17488974711245595,0.7232858774624866,0.00019726880097,0.00020148106913494114
0.18738187190641695,0.7749491544249785,0.00025060987185,0.00024337452162661693
0.19987399670037792,0.8266124313874702,0.00027592776941,0.000267831692708857
0.21236612149433892,0.878275708349962,0.00029596767922,0.0002904899538799081
0.22485824628829995,0.9299389853124539,0.00040113613944,0.0004071308319182834
0.237350371079263,0.9816022622625471,0.00037908356733,0.00037617010390110506
0.249842495873224,1.033265539225039,0.00040591603584,0.0004049170425640342
0.262334620667185,1.0849288161875308,0.0004334784743,0.0004260263859120771
0.27482674546114594,1.1365920931500224,0.00048782138005,0.0004907137068777119
0.287318870255107,1.1882553701125145,0.0005531523113,0.0005568139964180842
0.29981099503707626,1.2399186470254124,0.00060993815715,0.0006093374439471407
0.31230311984902476,1.2915819240622948,0.0006216193768,0.0006338992289758787
0.32479524463099413,1.343245200975193,0.00062925264187,0.0006170719863453963
0.33728736944294263,1.394908478012075,0.00066462297005,0.0006782180642197688
0.3497794942249119,1.4465717549249733,0.00071948764048,0.000715573817321793
0.36227161900688126,1.4982350318378714,0.00078767794064,0.0007732200515123723
0.37476374381882976,1.5498983088747538,0.00085711846456,0.0008385905256522653
0.387255868600799,1.6015615857876517,0.00089441928806,0.000884767572242487
0.3997479934127476,1.653224862824534,0.00090353237114,0.0009249089382753931
0.4122401181947169,1.7048881397374323,0.00092852000448,0.0009382875484409717
0.42473224297668616,1.7565514166503304,0.00097279834382,0.000945338968988926
0.4372243677886347,1.8082146936872125,0.0010207739883,0.001042999501326143
0.44971649257060403,1.8598779706001107,0.0010798469874,0.0010661703680656897
0.4622086173525733,1.911541247513009,0.0011711644298,0.0012061601625660671
0.47470074216452185,1.963204524549891,0.0012031847771,0.0012165959544893534
0.4871928669464911,2.014867801462789,0.0012379502412,0.0012165247225965558
0.49968499175843967,2.0665310784996715,0.0012807700963,0.0013000370033427434
0.512177116540409,2.11819435541257,0.0013222012719,0.0013004666272528522
0.5246692413223782,2.169857632325468,0.0013643736475,0.0013350274464120988
0.5371613661343269,2.2215209093623502,0.0014193609092,0.0014608104077619298
0.549653490916296,2.273184186275248,0.0014756955545,0.0015035445517529293
0.5621456157282446,2.3248474633121305,0.0015284387138,0.0014997837865854448
0.574637740510214,2.376510740225029,0.0015855761441,0.0015629443774736024
0.5871298652921831,2.4281740171379265,0.0016243237832,0.0016087764549489224
