E_minus_EF_eV,E_eV,DOS_original,DOS_nueva
-8.426999999999998,13.935,2.787e-05,2.809471648528427e-05
-8.421999999999999,13.94,3.049e-05,3.105842594704769e-05
-8.416999999999998,13.945,3.334e-05,3.3297970882757236e-05
-8.411999999999999,13.95,3.643e-05,3.642246367389072e-05
-8.406999999999998,13.955,3.978e-05,3.9410112001015935e-05
-8.401999999999997,13.96,4.341e-05,4.343553533932668e-05
-8.396999999999998,13.965,4.734e-05,4.810073851838188e-05
-8.391999999999998,13.97,5.16e-05,5.169737446022805e-05
-8.386999999999999,13.975,5.62e-05,5.483047687840733e-05
-8.381999999999998,13.98,6.118e-05,6.143501297644941e-05
-8.376999999999999,13.985,6.655e-05,6.773209845339669e-05
-8.371999999999998,13.99,7.235e-05,7.431952419700856e-05
-8.366999999999999,13.995,7.861e-05,7.720724499580725e-05
-8.361999999999998,14.0,8.535e-05,8.776082717866462e-05
-8.356999999999998,14.005,9.262e-05,9.3718019825564e-05
-8.351999999999999,14.01,0.0001004,9.772568282592565e-05
-8.346999999999998,14.015,0.0001088,0.00011084610130604468
-8.341999999999999,14.02,0.0001179,0.00011488379674041302
-8.336999999999998,14.025,0.0001276,0.00012622837698566836
-8.331999999999999,14.03,0.000138,0.0001388861070979657
-8.326999999999998,14.035,0.0001492,0.00014502710001501495
-8.322,14.04,0.0001612,0.00016430916108481174
-8.316999999999998,14.045,0.000174,0.0001722511660582009
-8.311999999999998,14.05,0.0001878,0.00018818522757136865
-8.306999999999999,14.055,0.0002025,0.00020683544678996036
-8.301999999999998,14.06,0.0002182,0.0002119298844390019
-8.296999999999999,14.065,0.000235,0.00023937319156081707
-8.291999999999998,14.07,0.000253,0.0002591992908396491
-8.286999999999999,14.075,0.0002721,0.00026551866437854487
-8.281999999999998,14.08,0.0002925,0.0002924878615185198
-8.276999999999997,14.085,0.0003142,0.0003122889134342669
-8.271999999999998,14.09,0.0003374,0.0003467291611398581
-8.266999999999998,14.095,0.000362,0.000369383431513798
-8.261999999999999,14.1,0.0003882,0.0003988236751069363
-8.256999999999998,14.105,0.000416,0.00041205261379419455
-8.251999999999999,14.11,0.0004456,0.00044664139212750474
-8.246999999999998,14.115,0.000477,0.0004820723995891184
-8.241999999999999,14.12,0.0005102,0.0005014663686038111
-8.236999999999998,14.125,0.0005454,0.000536170325832125
-8.231999999999998,14.13,0.0005828,0.0005791291067294382
-8.226999999999999,14.135,0.0006222,0.0006199366925058763
-8.221999999999998,14.14,0.000664,0.000658122321857857
-8.216999999999999,14.145,0.0007081,0.000700643561339727
-8.211999999999998,14.15,0.0007548,0.0007503620062408071
-8.206999999999999,14.155,0.0008039,0.0007872454583354444
-8.201999999999998,14.16,0.0008558,0.0008736600505935483
-8.197,14.165,0.0009105,0.000933338585777548
-8.191999999999998,14.17,0.0009681,0.0009496737427451378
-8.186999999999998,14.175,0.001029,0.001051710270185498
-8.181999999999999,14.18,0.001092,0.001071112482739401
-8.176999999999998,14.185,0.00116,0.0011682228167554933
-8.171999999999999,14.19,0.00123,0.0011933843131798898
-8.166999999999998,14.195,0.001304,0.0013167762108332675
-8.161999999999999,14.2,0.001381,0.001352902263404216
-8.156999999999998,14.205,0.001463,0.001446117217098167
-8.151999999999997,14.21,0.001548,0.00153295941908413
-8.146999999999998,14.215,0.001637,0.0016499005491055348
-8.141999999999998,14.22,0.00173,0.0017050679463660125
-8.136999999999999,14.225,0.001828,0.0017876973212039974
-8.131999999999998,14.23,0.001929,0.0019810190463112128
-8.126999999999999,14.235,0.002036,0.0020484181710918106
-8.121999999999998,14.24,0.002147,0.002123491532676014
-8.116999999999999,14.245,0.002262,0.002306871352686895
-8.111999999999998,14.25,0.002383,0.0023215763812212777
