frecuencia_THz,energia_meV,a2F_original,alpha2F_digitalizada_interp,alpha2F_nueva
0.006246060986203026,0.02583163267287,1.60175e-08,0.0,1.1322062425601685e-08
0.018738182958609077,0.07749489801861,4.32478e-07,0.0,3.0137830433283647e-07
0.031230304931015127,0.12915816336435,2.00222e-06,0.0,1.4068079280582066e-06
0.04372232820816334,0.1808210205393,5.49409e-06,0.0,3.9169554875074625e-06
0.05621451597740795,0.2324845579989,1.16769e-05,0.0,8.285566177943278e-06
0.06870670374665257,0.2841480954585,5.81741e-05,0.0,4.0846543264478665e-05
0.08119889151589718,0.3358116329181,0.000114049,0.0,8.10634117224634e-05
0.09369107928514178,0.38747517037769996,0.000155648,0.0,0.00010765922249592279
0.10618293807019359,0.43913734726799997,0.000211902,0.0,0.00014659000726129396
0.1186751258394382,0.4908008847276,0.000307961,0.0,0.00020990343679126163
0.1311673136086828,0.5424644221871999,0.00040741,0.0,0.00029066989294522505
0.14365950137792743,0.5941279596468,0.000597203,0.0,0.00042071757871270263
0.15615168914717203,0.6457914971063999,0.000786718,0.0,0.000549430133007967
0.16864354793222383,0.6974536739966999,0.000944397,0.0,0.0006598813445213188
0.18113573570146846,0.7491172114563,0.00115012,0.0,0.0008229283699636386
0.1936279234707131,0.8007807489159,0.00150702,0.0,0.0010457999208680804
0.20612011123995772,0.8524442863755001,0.00167936,0.0,0.001202198268823232
0.2186122990092023,0.9041078238350999,0.00236237,0.0,0.001673358864238784
0.23110415779425408,0.9557700007253999,0.00241849,0.0,0.0016423613880599626
0.2435963455634987,1.007433538185,0.00271127,0.0,0.0018722053978624587
0.2560885333327434,1.0590970756446,0.00297732,0.0,0.0021328770189289435
0.26858072110198794,1.1107606131041998,0.00335882,0.0,0.0023928055161339334
0.2810729088712326,1.1624241505638,0.00399636,0.0,0.0027438132863697984
0.29356476765628436,1.2140863274540998,0.00455215,0.0,0.003150171957376694
0.306056955425529,1.2657498649137,0.00507041,0.0,0.0036410923372267607
0.3185491431947736,1.3174134023733,0.00520716,0.0,0.0036111292384001926
0.3310403440114398,1.369072858125,0.0055236,0.0,0.003808140978842453
0.34353187381229877,1.420733674446,0.00603564,0.0,0.004201310544796107
0.35602669345508586,1.47240809646,0.00672542,0.0,0.0046598322437573485
0.36851822325594485,1.5240689127809999,0.00750802,0.0,0.005372370886866291
0.38100975305680385,1.5757297291019998,0.00830434,0.0,0.005868301938999526
0.3935012828576629,1.627390545423,0.00875713,0.0,0.006172772434426038
0.40599281265852183,1.679051361744,0.0089314,0.0,0.006263720920366928
0.41848763230130887,1.7307257837579997,0.00947705,0.0,0.0067917769986155915
0.43097916210216797,1.782386600079,0.0101116,0.0,0.007199855838416423
0.4434706919030269,1.8340474163999998,0.0108151,0.0,0.007635963485945936
0.4559622217038859,1.8857082327209997,0.0117248,0.0,0.008196408419529032
0.46845375150474494,1.937369049042,0.0128149,0.0,0.008748997695669225
0.4809452813056039,1.9890298653629999,0.0131014,0.0,0.009410040144372477
0.49344010094839097,2.040704287377,0.0138206,0.0,0.009620730700431027
0.50593163074925,2.092365103698,0.0144928,0.0,0.009856156398349372
0.5184231605501091,2.144025920019,0.015165,0.0,0.010655784678750726
0.5309146903509679,2.19568673634,0.015851,0.0,0.011277813634400478
0.5434062201518269,2.2473475526609996,0.0168114,0.0,0.012108684546928188
0.555901039794614,2.299021974675,0.0175761,0.0,0.012048109717157075
0.568392569595473,2.3506827909959997,0.0183739,0.0,0.013004095376062218
0.580884099396332,2.402343607317,0.0191957,0.0,0.013719513169883226
0.5933756291971911,2.454004423638,0.0199249,0.0,0.01417331011133161
0.60586715899805,2.505665239959,0.0210088,0.0,0.01458547307113473
0.6183586887989091,2.55732605628,0.0220793,0.0,0.01562502271845722
0.630853508441696,2.6090004782939995,0.0228572,0.0,0.01622246392698681
0.6433450382425552,2.660661294615,0.0232935,0.0,0.015950091247461152
0.6558365680434141,2.712322110936,0.0242053,0.0,0.017324302534100902
0.668328097844273,2.7639829272569996,0.0253032,0.0,0.018117264352403663
0.680819627645132,2.8156437435779997,0.026436,0.0,0.019037801207208854
0.6933144472879191,2.8673181655919997,0.0274376,0.0,0.01876392378482492
0.7058059770887781,2.918978981913,0.028393,0.0,0.0196054615457192
0.7182975068896371,2.9706397982339996,0.029046,0.0,0.02035432641484166
0.7307890366904961,3.0223006145549998,0.0302485,0.0,0.021477814438386242
0.7432805664913552,3.073961430876,0.0314441,0.0,0.022094888752508344
0.7557720962922141,3.1256222471969997,0.0323909,0.0,0.02205122332308952
0.7682669159350013,3.177296669211,0.0333844,0.0,0.023517947512428004
0.7807584457358602,3.228957485532,0.0348388,0.0,0.024737225041745758
0.7932499755367193,3.280618301853,0.0356652,0.0,0.024706652291273674
0.8057415053375782,3.3322791181739997,0.0364799,0.0,0.02564235795570657
0.8182330351384373,3.383939934495,0.0374736,0.0,0.02623079347679514
0.8307278547812242,3.435614356509,0.0385224,0.0,0.02762600273778584
0.8432193845820832,3.4872751728299995,0.0398151,0.0,0.027890288940583707
0.8557109143829422,3.5389359891509997,0.0412228,0.0,0.029482769762977323
0.8682024441838014,3.5905968054720003,0.0426285,0.0,0.02895770609311528
0.8806939739846603,3.642257621793,0.0433762,0.0,0.03046263475566082
0.8931855037855193,3.693918438114,0.0441894,0.0,0.03093374094444494
0.9056803234283064,3.745592860128,0.0456372,0.0,0.032845683367556236
0.9181718532291654,3.797253676449,0.0472149,0.0,0.03271373854732403
0.9306633830300243,3.8489144927699996,0.0485039,0.0,0.033205538628074
0.9431549128308834,3.900575309091,0.0494451,0.0,0.03375415378344078
0.9556464426317423,3.9522361254119995,0.0502968,0.0,0.03544797875982054
0.9681412622745295,4.003910547426,0.0516103,0.0,0.03651025878656987
0.9806327920753882,4.055571363746999,0.0529874,0.0,0.03608431155101604
0.9931243218762476,4.107232180068,0.0542436,0.0,0.03864563739970914
1.0056158516771063,4.158892996389,0.055509,0.0,0.0380388897136571
1.0181073814779653,4.21055381271,0.0568797,0.0,0.038770345712789325
1.0305989112788245,4.262214629031,0.0583148,0.0,0.03975279892568821
1.0430937309216115,4.313889051045,0.0596058,0.0,0.04269597091348641
1.0555852607224705,4.365549867366,0.0607249,0.0,0.043492635221566954
1.0680767905233293,4.417210683686999,0.0617115,0.0,0.043686606651639245
1.0805683203241885,4.4688715000079995,0.0632226,0.0,0.045490384806053004
1.0930598501250475,4.520532316329,0.0649276,0.0,0.04461046788075008
1.1055546697678347,4.5722067383430005,0.0662765,0.0,0.045265642512750316
1.1180461995686934,4.623867554664,0.0671913,0.0,0.0457939137486704
1.1305377293695527,4.675528370985,0.0684705,0.0,0.04684725573701602
1.1430292591704116,4.727189187306,0.0701995,0.0,0.04862327421780232
1.1555207889712704,4.778850003626999,0.0718037,0.0,0.04904228711116575
1.1680123187721294,4.830510819948,0.0734062,0.0,0.05213343495274714
1.1805071384149166,4.8821852419619995,0.0743961,0.0,0.051805309443452935
1.1929986682157756,4.933846058283,0.075272,0.0,0.054050864306584
1.2054901980166346,4.985506874604,0.0769785,0.0,0.053557110102006256
1.2179817278174936,5.037167690925,0.078673,0.0,0.05614429127278366
1.2304732576183528,5.088828507246,0.0799696,0.0,0.05765765999254645
1.2429647874192116,5.1404893235669995,0.0815945,0.0,0.057126449989249296
1.2554596070619986,5.1921637455809995,0.0829607,0.0,0.05798601630808884
1.2679511368628575,5.243824561902,0.0844877,0.0,0.0591680202569372
1.2804426666637168,5.295485378223,0.0860683,0.0,0.05860791382217514
1.2929341964645755,5.347146194543999,0.0872443,0.0,0.05978298108593444
1.3054257262654347,5.398807010865,0.0884714,0.0,0.061419926556063695
1.3179205459082217,5.450481432879,0.0903387,0.0,0.06476885313342785
1.330412075709081,5.5021422492,0.0917071,0.0,0.06606259367733772
1.3429036055099397,5.553803065521,0.0934718,0.0,0.06421070851789876
1.3553951353107987,5.605463881842,0.0950788,0.0,0.06543597926146212
1.3678866651116577,5.657124698163,0.096406,0.0,0.06741398535547696
1.3803781949125167,5.708785514483999,0.0980945,0.0,0.06691953803283006
1.3928730145553037,5.760459936497999,0.0998719,0.0,0.0700132515727123
1.4053645443561626,5.812120752818999,0.101171,0.0,0.07188523159336806
1.4178560741570219,5.86378156914,0.10254,0.0,0.07254860226655907
1.4303476039578809,5.915442385461,0.10417,0.0,0.07390523263889731
1.4428391337587398,5.967103201782,0.105715,0.0,0.07448715268041266
1.4553339534015268,6.018777623796,0.107585,0.0,0.07309403085343842
1.4678254832023858,6.070438440117,0.109385,0.0,0.07705943741931832
1.4803170130032448,6.122099256437999,0.110912,0.0,0.07658174700397452
1.4928085428041038,6.173760072758999,0.112435,0.0,0.08070295791949122
1.5053000726049628,6.22542088908,0.114156,0.0,0.07753290712377903
1.5177916024058218,6.277081705401,0.115771,0.0,0.08089552210404889
1.530286422048609,6.328756127415,0.117148,0.0,0.08125587889424234
1.542777951849468,6.380416943736,0.119059,0.0,0.08551070195284555
1.555269481650327,6.432077760057,0.121119,0.0,0.086097017885942
1.5677610114511857,6.483738576377999,0.122873,0.0,0.08391067485554433
1.580252541252045,6.5353993926989995,0.12451,0.0,0.08600173785842266
1.592747360894832,6.5870738147129995,0.126263,0.0,0.08765681371558363
1.605238890695691,6.638734631034,0.128039,0.0,0.08699291443402354
1.61773042049655,6.690395447355,0.129997,0.0,0.09260285532703336
1.6302219502974091,6.742056263676,0.132016,0.0,0.09483942881734157
1.642713480098268,6.793717079996999,0.133627,0.0,0.09584883784914884
1.6552050098991269,6.845377896317999,0.135428,0.0,0.09495909588586116
1.667699829541914,6.897052318331999,0.137392,0.0,0.09746508306794993
1.680191359342773,6.948713134653,0.139424,0.0,0.09575572605822823
1.6926828891436323,7.000373950974001,0.141351,0.0,0.09603348145424964
1.705174418944491,7.052034767295,0.143702,0.0,0.10314740797020479
1.71766594874535,7.103695583616,0.145506,0.0,0.10135945356385101
1.730160768388137,7.155370005629999,0.147599,0.0,0.10029605936790355
1.7426522981889963,7.207030821951,0.149507,0.0,0.1063440421520465
1.755143827989855,7.2586916382719995,0.15166,0.0,0.10515853249721345
1.767635357790714,7.310352454593,0.153959,0.0,0.10666385459184588
1.780126887591573,7.362013270913999,0.156326,0.0,0.11203643577096632
1.792618417392432,7.413674087234999,0.158584,0.0,0.1114796752492954
1.8051132370352192,7.465348509249,0.160824,0.002506365746397713,0.11046475379813729
1.8176047668360782,7.517009325569999,0.162829,0.008629364190892087,0.11817207533610653
1.8300962966369374,7.568670141891,0.165212,0.014752362635386674,0.11814769973009064
1.8425878264377962,7.620330958212,0.167812,0.020875361079881048,0.12719850175576652
1.8550793562386552,7.671991774533,0.170648,0.02699835952437553,0.12992982631266847
1.8675741758814421,7.723666196546999,0.173031,0.03312297055734618,0.12765661970831887
1.8800657056823014,7.775327012868,0.175282,0.03924596900184076,0.1340416581081439
1.8925572354831601,7.826987829188999,0.17788,0.04536896744633514,0.13728206443516364
1.9050487652840191,7.878648645509999,0.180621,0.05149196589082961,0.14198875455314386
1.9175402950848783,7.930309461831,0.183271,0.057614964335324204,0.14670370186062442
1.9300318248857373,7.981970278152,0.18624,0.06373796277981858,0.15044258940818905
1.9425266445285245,8.033644700166,0.189499,0.06986257381278944,0.15268584926272158
1.955018174329383,8.085305516486999,0.192285,0.07598557225728371,0.15600659136164668
1.9675097041302423,8.136966332807999,0.194997,0.08210857070177818,0.16530089430803846
1.9800012339311013,8.188627149129,0.198088,0.08823156914627266,0.1675730127072764
1.9924927637319603,8.24028796545,0.201273,0.09435456759076714,0.1690443270981878
2.004987583374747,8.291962387463998,0.204636,0.1004791786237378,0.17407114395358012
2.0174791131756065,8.343623203785,0.208349,0.10642088496212901,0.17427766064367275
2.0299706429764655,8.395284020106,0.212032,0.1085771408849353,0.17839930942021853
2.0424621727773244,8.446944836426999,0.215423,0.11073339680774148,0.1876604549478309
2.0549537025781834,8.498605652748,0.21854,0.11288965273054775,0.19096787130904008
2.0674452323790424,8.550266469069,0.222264,0.11504590865335403,0.18544959211520579
2.0799400520218296,8.601940891083,0.226402,0.11720273246025906,0.18888713885346076
2.092431581822688,8.653601707403999,0.230704,0.11935898838306527,0.1976166298129432
2.1049231116235476,8.705262523725,0.234954,0.12151524430587163,0.20500795416997208
2.1174146414244066,8.756923340046,0.2393,0.12367150022867791,0.20808668797404095
2.129906171225265,8.808584156366999,0.24344,0.12582775615148412,0.2071445252319266
2.142400990868053,8.860258578381,0.247657,0.12798457995838916,0.20944249527073372
2.154892520668912,8.911919394702,0.253084,0.13014083588119543,0.21746577671211792
2.167384050469771,8.963580211023,0.258367,0.1322970918040017,0.226555755107452
2.1798755802706293,9.015241027343999,0.263494,0.13445334772680792,0.226171545069746
2.1923671100714883,9.066901843664999,0.268847,0.13660960364961422,0.22583027668461939
2.2048586398723473,9.118562659985999,0.274599,0.13935198270332103,0.23798416845720047
2.2173534595151345,9.170237082,0.280025,0.14258721841367858,0.23310751678003436
2.229844989315993,9.221897898320998,0.286336,0.1458216022978879,0.23902506195523432
2.242336519116853,9.273558714642,0.293197,0.14905598618209745,0.24561395003653727
2.254828048917712,9.325219530963,0.299952,0.1522903700663069,0.25234270307203244
2.2673195787185705,9.376880347283999,0.306856,0.15552475395051624,0.2544295265177883
2.2798111085194295,9.428541163604999,0.314713,0.15875913783472567,0.2631545768865804
2.2923059281622167,9.480215585619,0.322084,0.16199437354508323,0.26732504902809756
2.3047974579630757,9.53187640194,0.330623,0.1658832883084783,0.2730054269897028
2.317288987763934,9.583537218260998,0.340066,0.16992626816374,0.2906278370656353
2.3297805175647937,9.635198034582,0.348901,0.173969248019002,0.29738204519221834
2.3422720473656526,9.686858850903,0.359584,0.1751191442135157,0.306131424006002
2.35476686700844,9.738533272917,0.369969,0.1751191442135157,0.30410269738347706
2.367258396809299,9.790194089238,0.381023,0.17519020773980531,0.32264256342962955
2.379749926610158,9.841854905559,0.394261,0.1833612828157028,0.3366406650403419
2.392241456411017,9.89351572188,0.407558,0.1915323578916003,0.3496435015603619
2.4047329862118754,9.945176538200998,0.422289,0.1997034329674975,0.35978585026611315
2.417224516012735,9.996837354522,0.438176,0.20787450804339527,0.35844043520352276
2.4297193356555216,10.048511776536,0.455203,0.21604773510114034,0.37378035986467806
2.442210865456381,10.100172592857,0.475056,0.22421881017703785,0.4113340632923879
2.45470239525724,10.151833409178,0.496802,0.23238988525293536,0.4299955452378347
2.467193925058099,10.203494225499,0.520775,0.24056096032883287,0.44766912913622775
2.479685454858958,10.25515504182,0.548977,0.24873203540473035,0.4532806727297076
2.4921802745017447,10.306829463834,0.580866,0.25607633243870104,0.4760981364200095
2.5046718043026037,10.358490280155,0.620219,0.2632417367360266,0.49971303497590536
2.5171633341034627,10.410151096476,0.666408,0.2704071410333521,0.5356499828798258
2.5296548639043217,10.461811912797,0.720545,0.279329669418165,0.5804108519043458
2.5421463937051807,10.513472729117998,0.798627,0.2917734058887109,0.6364703716048601
2.55463792350604,10.565133545439,0.909925,0.3042171423592577,0.7175116923137824
2.5671327431488273,10.616807967453001,1.11055,0.31666415608460285,0.8782425346143616
2.579624272949686,10.668468783774,1.35037,0.3382666048927709,1.0339554945397957
2.592115802750545,10.720129600095,1.29949,0.361948873333084,0.994870341060588
2.604607332551404,10.771790416416,1.3172,0.38563114177339713,1.0379219888254112
2.617098862352263,10.823451232737,1.21857,0.4093134102137102,0.9938572690083897
2.6295936819950496,10.875125654750999,1.12797,0.4325606303462879,0.9175014410589032
2.642085211795909,10.926786471071999,1.15138,0.44907663315927215,0.9678962234299946
2.654576741596768,10.978447287393,0.90644,0.46559263597225636,0.7763532435593877
