frecuencia_THz,energia_meV,DOS_fonones
-4.987284428834462e-08,-2.0625751102178917e-07,0.0
0.0240141796989317,0.0993146672224024,6.593979662323098e-08
0.0480284092701376,0.1986295406999579,2.643848230503296e-07
0.0720426388419431,0.2979444141799932,5.9649014824387e-07
0.0960568684137486,0.3972592876600284,1.0527327096568288e-06
0.120071097985554,0.4965741611400636,1.6596743774237971e-06
0.1440853275573595,0.5958890346200988,2.370418052511538e-06
0.168099557129165,0.6952039081001341,3.2517743330762515e-06
0.1921137867009704,0.7945187815801693,4.231335582625911e-06
0.2161280162727759,0.8938336550602045,6.854918609083227e-06
0.2401422458445814,0.9931485285402396,1.3987310896979244e-05
0.2641564754163868,1.0924634020202748,1.8089999477078102e-05
0.2881707049881923,1.19177827550031,1.965062283027752e-05
0.3121849345569999,1.291093148967947,2.31279732229559e-05
0.3361991641318033,1.3904080224603803,2.686906996364344e-05
0.3602133937066067,1.4897228959528144,3.058544173932962e-05
0.3842276232814101,1.5890377694452478,3.483048179240852e-05
0.4082418528562135,1.6883526429376816,4.041205134314108e-05
0.4322560824310169,1.787667516430115,4.865474101590624e-05
0.4562703119758411,1.8869823897985645,5.222124580839614e-05
0.4802845415506445,1.986297263290998,5.839620256430751e-05
0.5042987711254479,2.0856121367834315,6.810596723813255e-05
0.5283130007002513,2.1849270102758656,7.29057646578585e-05
0.5523272302750547,2.284241883768299,7.534882658605531e-05
0.5763414598498581,2.383556757260733,8.159998252043852e-05
0.6003556894246616,2.4828716307531664,8.798032669692771e-05
0.6243699189994649,2.5821865042456,9.837854626670574e-05
0.6483841485742683,2.6815013777380337,0.0001075412989542
0.6723983781190924,2.780816251106483,0.000113484514893
0.6964126076938959,2.880131124598917,0.0001215018486334
0.7204268372686993,2.9794459980913506,0.0001274581134761
0.7444410668435026,3.078760871583784,0.0001349127959418
0.768455296418306,3.1780757450762174,0.0001427719527774
0.7924695259931095,3.2773906185686514,0.0001501259099032
0.8164837555679129,3.376705492061085,0.0001601852132914
0.8404979851427162,3.4760203655535182,0.000171012111871
0.8645122147175196,3.575335239045952,0.0001826947650144
0.8885264442923231,3.674650112538386,0.0001894186828713
0.9125406738371472,3.773964985906835,0.0001993594184434
0.9365549034119506,3.8732798593992688,0.0002078070789097
0.960569132986754,3.972594732891703,0.0002155880038756
0.9845833625615574,4.0719096063841365,0.0002261652370647
