frecuencia_THz,energia_meV,alpha2F
0.0120068373895973,0.04965628957131,1.263495237723601e-09
0.0360211372387583,0.1489714537956,3.403758717870867e-08
0.0600353383926614,0.2482862098491,1.577590386358886e-07
0.0840495395465646,0.3476009659026,4.313331799377529e-07
0.1080637407004677,0.4469157219560999,9.168182268651788e-07
0.1320779418543709,0.5462304780096,1.6707222282217938e-06
0.1560921430082741,0.6455452340630999,2.754670107752606e-06
0.1801063441621772,0.7448599901166,4.250759223024869e-06
0.2041205453160804,0.8441747461701,6.193221211744757e-06
0.2281350754541763,0.9434908627929,1.593816487908714e-05
0.2521492766080795,1.0428056188464,2.815253825451344e-05
0.2761634777619827,1.1421203748999,3.540406236847784e-05
0.3001776789158858,1.2414351309534,4.204136038407035e-05
0.3241918800697889,1.3407498870069,5.201342426485891e-05
0.3482067391920777,1.4400673641989998,6.435170748836514e-05
0.3722192954250168,1.539375317406,7.806091282175671e-05
0.396235141499884,1.638696876306,9.390021649923907e-05
0.4202476977328231,1.738004829513,0.0001226546386397
0.4442635438076903,1.837326388413,0.0001502281076568
0.4682761000406294,1.93663434162,0.0001651037173338
0.4922919461154966,2.03595590052,0.0001892132476306
0.5163045023484357,2.135263853727,0.0002344228093507
0.5403203484233029,2.234585412627,0.0002459474449361
0.5643329046562421,2.333893365834,0.0002749413518945
0.5883487507311093,2.433214924734,0.0003079408874513
0.6123613069640484,2.532522877941,0.0003520029296672
0.6363771530389155,2.631844436841,0.0004043887678252
0.6603897092718547,2.731152390048,0.0004456496401673
0.684405555346722,2.830473948948,0.0004879727961716
0.708418111579661,2.929781902155,0.0005360854426294
0.7324339576545281,3.029103461055,0.000575421920661
0.7564465138874672,3.128411414262,0.000624735583434
0.7804623599623345,3.227732973162,0.0006815938002268
0.8044749161952737,3.327040926369,0.0007390280082575
0.8284907622701408,3.426362485269,0.0008063605974554
0.85250331850308,3.5256704384760003,0.0008822572061704
0.876519164577947,3.624991997376,0.0009556184112933
0.9005317208108862,3.724299950583,0.0010106057159142
0.9245475668857536,3.823621509483,0.0010822140213704
0.9485634129606206,3.922943068383,0.0011451582999911
0.9725759691935596,4.02225102159,0.0012170910043586
0.9965918152684268,4.12157258049,0.0012926435417182
1.020604371501366,4.220880533697,0.0013730268995983
1.0446202175762331,4.320202092597,0.0014495229974919
1.0686327738091723,4.419510045804,0.0015564832501078
1.0926486198840393,4.518831604703999,0.0016405405355967
1.1166611761169785,4.618139557910999,0.0017231369571526
1.140677022191846,4.717461116811,0.0018159638591251
1.164689578424785,4.816769070018,0.001918353678174
1.188705424499652,4.916090628917999,0.0019984122794931
1.212717980732591,5.015398582124999,0.0021063837491323
1.2367338268074584,5.114720141025,0.0022155542529081
1.2607463830403975,5.214028094232,0.0023241851364789
1.2847622291152647,5.313349653132,0.0024165435486936
1.308774785348204,5.412657606339,0.002550844819821
1.3327906314230709,5.511979165239,0.0026684476632415
1.35680318765601,5.611287118446,0.002770851879142
1.3808190337308772,5.710608677345999,0.0028881927224632
1.4048315899638164,5.809916630553,0.0029930375271951
1.4288474360386836,5.909238189452999,0.0031180848527094
1.4528599922716223,6.008546142659999,0.0032519337294271
1.47687583834649,6.10786770156,0.0033807042536937
1.5008883945794291,6.207175654767,0.0035098090585008
1.5249042406542963,6.306497213667,0.0036656158168025
1.5489167968872355,6.405805166874,0.0038060886715757
1.5729326429621024,6.505126725774,0.0039300694078409
1.5969451991950416,6.604434678981,0.0040793464095889
1.620961045269909,6.7037562378810005,0.004229620074303
1.6449736015028482,6.8030641910880005,0.0043886503892801
1.668989447577715,6.902385749987999,0.0045522131859932
1.693002003810654,7.001693703194999,0.0047237983032413
1.7170178498855213,7.101015262094999,0.0048368631418165
1.7410304061184605,7.200323215301999,0.0050136036910182
1.7650462521933277,7.299644774201999,0.005350706821552
1.7890588084262669,7.398952727408999,0.0058456854699537
1.813074654501134,7.498274286309,0.0062704782284372
1.837087210734073,7.597582239515999,0.0067270609353259
1.8611030568089404,7.696903798416,0.0072249789035413
1.88511561304188,7.796211751623,0.0077319432992012
1.9091314591167468,7.895533310523,0.0081943260560701
1.9331440153496855,7.99484126373,0.008696809292265
1.957159861424553,8.09416282263,0.009181675920078
1.981172417657492,8.193470775837,0.0095791157914398
2.005188263732359,8.292792334737,0.0101381731044816
2.0292008199652987,8.392100287944,0.0104809269985246
2.053216666040165,8.491421846843998,0.0108269247955397
2.077229222273105,8.590729800051,0.0111685649173962
2.101245068347972,8.690051358951,0.0114884350023201
2.1252576245809105,8.789359312157998,0.0118640827614395
2.1492734706557783,8.888680871058,0.0123201371799659
2.173286026888717,8.987988824264999,0.0126698656126092
2.1973018729635845,9.087310383165,0.0130544211572486
2.221314429196524,9.186618336372,0.0134770777074778
2.2453302752713906,9.285939895272,0.0138895140652039
2.2693428315043302,9.385247848479,0.014343384669826
2.293358677579197,9.484569407379,0.0148366076188687
2.3173745236540646,9.583890966279,0.0155361389808865
2.341387079887004,9.683198919486,0.016050109228355
2.3654029259618707,9.782520478386,0.0165625882780129
2.38941548219481,9.881828431593,0.0171127708086903
2.4134313282696764,9.981149990492998,0.0178324471159611
2.437443884502616,10.0804579437,0.0182631053281512
2.461459730577483,10.1797795026,0.0188982345231153
2.485472286810422,10.279087455807,0.0194397953475643
2.5094881328852896,10.378409014707,0.0200162798814574
2.5335006891182283,10.477716967914,0.0207796929514828
2.557516535193096,10.577038526814,0.0212741102525725
2.581529091426035,10.676346480021,0.0218712128218786
2.605544937500902,10.775668038921,0.0225843924958022
2.629557493733841,10.874975992128,0.0230279271218824
2.6535733398087085,10.974297551028,0.0238590307291615
2.677585896041648,11.073605504235,0.0244816007331763
2.701601742116515,11.172927063135,0.0250733923459561
2.725614298349454,11.272235016342,0.0256456162519621
2.7496301444243207,11.371556575241998,0.0262332961066851
2.7736427006572604,11.470864528449,0.0270821589410713
2.7976585467321278,11.570186087349,0.0277031456982293
2.8216711029650665,11.669494040556,0.0283271177900197
2.845686949039933,11.768815599456,0.0289459633022819
2.8696995052728727,11.868123552663,0.029610902917644
2.89371535134774,11.967445111563,0.0302223520716557
2.9177279075806792,12.06675306477,0.0310054254958519
2.941743753655546,12.16607462367,0.0317201833562798
2.9657563098884854,12.265382576877,0.0322570348412033
2.9897721559633528,12.364704135777,0.0329564412326702
3.0137847121962915,12.464012088984,0.0337565120314316
3.037800558271159,12.563333647884,0.0344380101034949
3.061813114504098,12.662641601091,0.0354106394591289
3.085828960578965,12.761963159991,0.0361569006058327
3.1098415168119047,12.861271113198,0.0369603975712245
3.133857362886771,12.960592672098,0.0379526527064398
3.1578699191197104,13.059900625304998,0.0387302213531896
3.1818857651945778,13.159222184205,0.0394097175903147
3.2058983214275165,13.258530137412,0.0402516841844247
3.2299141675023844,13.357851696312,0.0409008046875296
3.253926723735323,13.457159649519,0.0418896171250721
3.2779425698101905,13.556481208419,0.0429434311382652
3.3019485463592737,13.65576195024,0.0440098374596299
3.3259643924341407,13.75508350914,0.0448439211536535
3.349980238509008,13.85440506804,0.0456719288023173
3.3739960845838746,13.953726626939998,0.0467410750508078
3.398011930658742,14.053048185839998,0.0478334666315318
3.422027776733609,14.152369744739998,0.0489112872902955
