E_minus_EF_eV,energia_meV,DOS_electronica
-10.837,-10837.0,0.3190458546245028
-10.787,-10787.0,0.3126973294192195
-10.737,-10737.0,0.3056576496160789
-10.687,-10687.0,0.2975979279411904
-10.637,-10637.0,0.290728673461951
-10.587,-10587.0,0.2851114659946092
-10.537,-10537.0,0.2799455446378081
-10.487,-10487.0,0.2752728698380464
-10.437,-10437.0,0.2717501960406414
-10.387,-10387.0,0.2649608917572368
-10.337,-10337.0,0.2604010230496892
-10.287,-10287.0,0.2588486714436947
-10.237,-10237.0,0.2539837944413535
-10.187,-10187.0,0.2505793145214368
-10.137,-10137.0,0.247970931667613
-10.087,-10087.0,0.2435622524298755
-10.037,-10037.0,0.2420814256108632
-9.987,-9987.0,0.2380384771157144
-9.937,-9937.0,0.2348853120428297
-9.887,-9887.0,0.2337453867971318
-9.837,-9837.0,0.2296956597943661
-9.787,-9787.0,0.2272163616467723
-9.737,-9737.0,0.225606114976072
-9.687,-9687.0,0.2252166875510459
-9.637,-9637.0,0.2230371188169785
-9.587,-9587.0,0.2204937532045155
-9.537,-9537.0,0.2182105020385232
-9.487,-9487.0,0.216009880190885
-9.437,-9437.0,0.2143165152365136
-9.387,-9387.0,0.2132407023709181
-9.337,-9337.0,0.2089480673449797
-9.287,-9287.0,0.2045063736970809
-9.237,-9237.0,0.1988593781234903
-9.187,-9187.0,0.193525738838171
-9.137,-9137.0,0.1909651332706826
-9.087,-9087.0,0.1930694932679999
-9.037,-9037.0,0.2077886059020612
-8.987,-8987.0,0.2380170037153983
-8.937000000000001,-8937.000000000002,0.2887456127912
-8.887,-8887.0,0.3558724160134096
-8.837,-8837.0,0.4367401932689978
-8.787,-8787.0,0.5132248232062088
-8.737,-8737.0,0.5810027210833932
-8.687000000000001,-8687.000000000002,0.6236459372536556
-8.637,-8637.0,0.6427557595154467
-8.587,-8587.0,0.6365054523665985
-8.537,-8537.0,0.6141130433666275
-8.487,-8487.0,0.5860344687864111
-8.437000000000001,-8437.000000000002,0.5615676979820442
-8.387,-8387.0,0.5418376048685066
-8.337,-8337.0,0.5269200455267097
-8.287,-8287.0,0.5136002832085359
-8.237,-8237.0,0.5004849123804407
-8.187000000000001,-8187.000000000001,0.4761485038599312
-8.137,-8137.0,0.4433142435679513
-8.087,-8087.0,0.4043492851035565
-8.037,-8037.000000000001,0.3653655634574875
-7.987,-7987.0,0.3328537523461477
-7.937000000000001,-7937.000000000001,0.3044959517143376
-7.887,-7887.0,0.288837105715819
-7.837000000000001,-7837.000000000001,0.2767737990217938
-7.787000000000001,-7787.000000000001,0.2727853637134518
