material,Tc_K,omega_c_meV,omega_epsilon_meV,omega_epsilon_prime_meV,Delta_Dcp_meV,half_Delta_Dcp_meV
Al,1.18,39.67624164195,0.16545555313574312,-0.165455553135736,0.3309111062714791,0.16545555313573956
Hg,4.154,11.342195489747999,0.4256870700906248,-0.4256870700906248,0.8513741401812496,0.4256870700906248
Nb,9.25,26.24837504946,0.9413512319656228,-0.9413512319656192,1.882702463931242,0.941351231965621
Ta,4.47,20.63942811021,0.5336299177785762,-0.5336299177785726,1.0672598355571488,0.5336299177785744
Pb,7.19,9.870603734867998,1.045510153734977,-1.0619748805654474,2.1074850343004243,1.0537425171502122
