Material,Tc (K),ωc (meV),ωε (meV),ωε' (meV),ΔDcp (meV),½ΔDcp (meV),Δ(0) (meV),(½ΔDcp)/Δ(0)
Al,1.18,39.67624164195,0.1654555531357431,-0.165455553135736,0.3309111062714791,0.16545555313573956,0.17,0.9732679596219974
Hg,4.15,11.342195489748,0.4256870700906248,-0.4256870700906248,0.8513741401812496,0.4256870700906248,0.825,0.5159843273825755
Nb,9.25,26.24837504946,0.9413512319656228,-0.9413512319656192,1.882702463931242,0.941351231965621,1.55,0.6073233754616909
Ta,4.48,20.63942811021,0.5336299177785762,-0.5336299177785726,1.0672598355571488,0.5336299177785744,0.664,0.8036595147267686
Pb,7.19,9.870603734867998,1.045510153734977,-1.0619748805654474,2.1074850343004243,1.0537425171502122,1.45,0.7267189773449739
