omega_meV,Dcp,A_electronica,B_electronica
0.0,0.0,0.0,0.0
0.0197807690077515,1.108259043686573e-17,3.7200070755472845e-10,3.7200065262282724e-10
0.039561538015503,3.3263878355117584e-18,3.7199812454767177e-10,3.7199801468386915e-10
0.059342307023254506,2.161001542141066e-18,3.71995541540614e-10,3.719953767449103e-10
0.079123076031006,1.6835620514296366e-18,3.7199295853355625e-10,3.719927388059514e-10
0.0989038450387575,1.3582736019374674e-18,3.719903755264975e-10,3.7199010086699174e-10
0.11868461404650901,1.099183055209903e-18,3.7198779251943824e-10,3.7198746292803173e-10
0.1384653830542605,9.239292527347498e-19,3.71985209512379e-10,3.7198482498907173e-10
0.158246152062012,8.060650478457722e-19,3.7198262650531874e-10,3.719821870501109e-10
0.1780269210697635,7.198702058628367e-19,3.719800434982583e-10,3.7197954911115023e-10
0.197807690077515,6.487825698861297e-19,3.719774604911968e-10,3.7197691117218894e-10
0.2175884590852665,5.891352832750689e-19,3.719748774841349e-10,3.719742732332271e-10
0.23736922809301803,5.608144730464662e-19,3.719722944770726e-10,3.719716352942655e-10
0.2571499971007695,5.025575753762412e-19,3.719697114700093e-10,3.719689973553032e-10
0.276930766108521,4.637674294832806e-19,3.7196712846294585e-10,3.71966359416341e-10
0.2967115351162725,4.3153540751893787e-19,3.719645454558812e-10,3.719637214773781e-10
0.316492304124024,4.0483891002808034e-19,3.7196196244881637e-10,3.719610835384154e-10
0.3362730731317755,3.7961867007424356e-19,3.7195937944175023e-10,3.71958445599452e-10
0.356053842139527,3.581003604428513e-19,3.719567964346835e-10,3.719558076604882e-10
0.3758346111472785,3.3559905650670346e-19,3.7195421342761636e-10,3.719531697215248e-10
0.39561538015503,3.1739758594758345e-19,3.7195163042054795e-10,3.7195053178256055e-10
0.4153961491627815,2.7738571070465945e-19,3.719490474134791e-10,3.7194789384359667e-10
0.435176918170533,2.177859702593622e-19,3.719464644064092e-10,3.719452559046319e-10
0.4549576871782845,1.7489470098776568e-19,3.7194388139933816e-10,3.7194261796566715e-10
0.47473845618603605,1.4850042901288224e-19,3.7194129839226675e-10,3.719399800267026e-10
0.49451922519378755,1.353207662109205e-19,3.7193871538519405e-10,3.7193734208773733e-10
0.514299994201539,1.212669075442777e-19,3.719361323781207e-10,3.7193470414877237e-10
0.5340807632092905,1.1636068282414566e-19,3.7193354937104595e-10,3.7193206620980673e-10
0.553861532217042,1.094593490836119e-19,3.719309663639702e-10,3.7192942827084083e-10
0.5736423012247935,1.0045876841859241e-19,3.719283833568937e-10,3.719267903318753e-10
0.593423070232545,9.419789378982666e-20,3.7192580034981575e-10,3.7192415239290915e-10
0.6132038392402965,8.661478840566489e-20,3.719232173427372e-10,3.7192151445394336e-10
0.632984608248048,8.146091982108856e-20,3.719206343356569e-10,3.719188765149768e-10
0.6527653772557995,7.706655164668774e-20,3.719180513285755e-10,3.7191623857601017e-10
0.672546146263551,7.407091726713209e-20,3.7191546832149314e-10,3.7191360063704386e-10
0.6923269152713025,7.217773620051913e-20,3.719128853144091e-10,3.7191096269807683e-10
0.712107684279054,6.978829799444229e-20,3.719103023073243e-10,3.719083247591102e-10
0.7318884532868055,6.777891389709028e-20,3.7190771930023755e-10,3.7190568682014303e-10
0.751669222294557,6.770377655280606e-20,3.719051362931494e-10,3.719030488811756e-10
0.7714499913023085,6.484892388171437e-20,3.719025532860602e-10,3.7190041094220855e-10
0.79123076031006,6.267839915873287e-20,3.7189997027896914e-10,3.71897773003241e-10
0.8110115293178115,6.12907016561582e-20,3.7189738727187685e-10,3.718951350642737e-10
0.830792298325563,6.011969409129292e-20,3.718948042647826e-10,3.7189249712530585e-10
0.8505730673333145,6.245262959015569e-20,3.718922212576866e-10,3.71889859186338e-10
0.870353836341066,6.513132690001054e-20,3.7188963825058936e-10,3.718872212473703e-10
0.8901346053488175,6.691145159169277e-20,3.718870552434899e-10,3.7188458330840207e-10
0.909915374356569,6.876708975882826e-20,3.71884472236389e-10,3.718819453694343e-10
0.9296961433643205,7.016236733624768e-20,3.718818892292858e-10,3.718793074304659e-10
0.9494769123720721,7.088835807308056e-20,3.718793062221811e-10,3.7187666949149787e-10
0.9692576813798236,7.263452158624088e-20,3.718767232150739e-10,3.718740315525293e-10
0.9890384503875751,7.355534845570208e-20,3.718741402079646e-10,3.718713936135606e-10
1.0088192193953265,7.298979808169553e-20,3.718715572008536e-10,3.718687556745923e-10
1.028599988403078,7.333916498422165e-20,3.7186897419374004e-10,3.7186611773562343e-10
1.0483807574108295,7.356948175194996e-20,3.718663911866245e-10,3.71863479796655e-10
1.068161526418581,7.324000123793976e-20,3.718638081795062e-10,3.7186084185768606e-10
1.0879422954263325,7.236984786190348e-20,3.7186122517238545e-10,3.7185820391871696e-10
1.107723064434084,7.255622576132737e-20,3.718586421652626e-10,3.718555659797481e-10
1.1275038334418355,7.219837216963308e-20,3.7185605915813664e-10,3.71852928040779e-10
1.147284602449587,7.168236891982877e-20,3.7185347615100847e-10,3.718502901018102e-10
1.1670653714573385,7.107766949012033e-20,3.718508931438771e-10,3.7184765216284077e-10
1.18684614046509,7.04140687866145e-20,3.718483101367428e-10,3.7184501422387136e-10
1.2066269094728415,6.95428602457772e-20,3.7184572712960605e-10,3.7184237628490236e-10
1.226407678480593,6.866379073331167e-20,3.718431441224658e-10,3.718397383459327e-10
1.2461884474883445,6.695906941587775e-20,3.718405611153228e-10,3.718371004069636e-10
1.265969216496096,6.405184424961205e-20,3.7183797810817603e-10,3.718344624679939e-10
1.2857499855038477,6.0964359849976e-20,3.71835395101026e-10,3.7183182452902415e-10
1.305530754511599,5.801943641247691e-20,3.7183281209387284e-10,3.7182918659005485e-10
1.3253115235193507,5.550001475979903e-20,3.7183022908671566e-10,3.71826548651085e-10
1.345092292527102,5.3334977270266633e-20,3.718276460795553e-10,3.7182391071211556e-10
1.3648730615348537,5.129392264682856e-20,3.7182506307239045e-10,3.718212727731456e-10
1.384653830542605,4.876355458431842e-20,3.7182248006522185e-10,3.7181863483417565e-10
1.4044345995503567,4.692865074393437e-20,3.718198970580496e-10,3.718159968952061e-10
1.424215368558108,4.538275902420445e-20,3.7181731405087254e-10,3.7181335895623595e-10
1.4439961375658596,4.376695551437218e-20,3.718147310436918e-10,3.7181072101726634e-10
1.463776906573611,4.2106428965245785e-20,3.7181214803650597e-10,3.7180808307829615e-10
1.4835576755813626,4.0851215393971506e-20,3.7180956502931544e-10,3.7180544513932597e-10
1.503338444589114,3.942543470069228e-20,3.718069820221207e-10,3.718028072003561e-10
1.5231192135968656,3.811309451222714e-20,3.7180439901492044e-10,3.7180016926138585e-10
1.542899982604617,3.660345356332851e-20,3.718018160077156e-10,3.7179753132241603e-10
1.5626807516123686,3.563313088601685e-20,3.71799233000505e-10,3.717948933834457e-10
1.58246152062012,3.4438305305998437e-20,3.717966499932894e-10,3.717922554444758e-10
1.6022422896278716,3.3240909935133837e-20,3.7179406698606776e-10,3.717896175055053e-10
1.622023058635623,3.225114003545173e-20,3.7179148397884027e-10,3.717869795665349e-10
1.6418038276433746,3.1265322051643434e-20,3.7178890097160725e-10,3.717843416275648e-10
1.661584596651126,3.0401229720472416e-20,3.717863179643676e-10,3.717817036885943e-10
