epsilon_meV,eDcp_epsilon,eDcp_epsilon_prime
-8.598878815830634,1.0169928017937213e-15,3.447246669590338e-14
-8.579959390493274,1.0722276421118263e-15,3.634408389431596e-14
-8.561039965155913,1.130441171056537e-15,3.8317318089283856e-14
-8.542120539818551,1.1918510908586323e-15,4.039768511744828e-14
-8.52320111448119,1.2565606411410916e-15,4.259100188638119e-14
-8.504281689143829,1.3247889524776569e-15,4.4903400515471556e-14
-8.485362263806469,1.3967152478696172e-15,4.734134611342628e-14
-8.466442838469106,1.4725492378751104e-15,4.991165599853447e-14
-8.447523413131746,1.5525087136072494e-15,5.262151560713878e-14
-8.428603987794384,1.6368178830318311e-15,5.5478502487593826e-14
-8.409684562457024,1.7256970539047656e-15,5.849060360345524e-14
-8.390765137119661,1.819386539548373e-15,6.166624142612433e-14
-8.371845711782301,1.9181759123172425e-15,6.501429458154374e-14
-8.35292628644494,2.022320876793891e-15,6.854412378388313e-14
-8.334006861107579,2.1321320094132703e-15,7.226559815921977e-14
-8.315087435770218,2.247877489765453e-15,7.61891232100712e-14
-8.296168010432856,2.369931454154334e-15,8.032566876646404e-14
-8.277248585095496,2.4986135354818882e-15,8.468680053490762e-14
-8.258329159758134,2.6342698298164074e-15,8.928471146931253e-14
-8.239409734420773,2.7773090761496314e-15,9.413225738007e-14
-8.220490309083413,2.928083959414771e-15,9.924299184794467e-14
-8.20157088374605,3.0870659748896082e-15,1.0463120340199262e-13
-8.182651458408689,3.2546747700408192e-15,1.10311958652679e-13
-8.163732033071328,3.431378042812032e-15,1.1630113972878557e-13
-8.144812607733968,3.617677513469167e-15,1.226154917762368e-13
-8.125893182396606,3.814111872420209e-15,1.292726702559864e-13
-8.106973757059246,4.021193697345007e-15,1.362912865853299e-13
-8.088054331721885,4.239505521166666e-15,1.4369096630961534e-13
-8.069134906384523,4.469681629791354e-15,1.5149239773081587e-13
-8.050215481047161,4.712355018330865e-15,1.59717393359187e-13
-8.0312960557098,4.968236539351339e-15,1.6838894953538398e-13
-8.01237663037244,5.237966835258391e-15,1.7753131168667825e-13
-7.993457205035078,5.522353604118099e-15,1.8717004123056696e-13
-7.974537779697718,5.8221708246555024e-15,1.9733208763040595e-13
-7.955618354360356,6.138261326418494e-15,2.0804586309935126e-13
-7.936698929022995,6.4715497484276315e-15,2.1934132285063622e-13
-7.917779503685634,6.822908454753957e-15,2.312500483996884e-13
-7.898860078348273,7.19333440874011e-15,2.4380533574412324e-13
-7.8799406530109115,7.583882842529486e-15,2.570422894408036e-13
-7.86102122767355,7.995643873895808e-15,2.7099791825566776e-13
-7.84210180233619,8.429766134194722e-15,2.8571124196903174e-13
-7.823182376998828,8.88741830430974e-15,3.0122339848947434e-13
-7.804262951661467,9.369964117347718e-15,3.17577757972509e-13
-7.785343526324106,9.878690459710492e-15,3.348200466533062e-13
-7.766424100986745,1.041501662799698e-14,3.529984735954022e-13
-7.747504675649384,1.0980503369486379e-14,3.7216386425426e-13
