material,Tc_K,omega_c_meV,omega_cp_meV,Dcp_max,Ncp
Al,1.18,39.67624164195,0.07951150629649299,4.050092268275907e-17,6.330749268199256e-17
Nb,9.25,26.24837504946,0.05260195400693387,9.654123803275786e-16,1.4582844236004208e-16
Pb,7.19,9.870603734867998,0.0197807690077515,1.108259043686573e-17,6.740876975429759e-19
