frecuencia_THz,energia_meV,alpha2F
0.003432423677226292,0.014195363734620001,0.0019944342747819943
0.010297303930098155,0.04258622726079,0.006137558999903582
0.0171622170813893,0.07097722684388999,0.009828827773859869
0.02402713023268044,0.09936822642698999,0.01465629432738407
0.030892043383971588,0.12775922601009,0.01879026051314881
0.03775685784000489,0.1561498174224,0.023376400231376965
0.044621770991296036,0.18454081700549999,0.027886178196478602
0.05148668414258718,0.2129318165886,0.03320849013643827
0.05835159729387832,0.24132281617169998,0.03708939935710079
0.06521651044516948,0.2697138157548,0.04214815177357431
0.07208142359646061,0.29810481533789995,0.04633402487447726
0.07894633674775176,0.326495814921,0.05266838333041029
0.0858112498990429,0.3548868145041,0.057182954753464084
0.09267616305033403,0.38327781408719996,0.059641414224312864
0.09954107620162518,0.41166881367029995,0.06371298825589791
0.10640598935291634,0.4400598132534,0.06489882016687257
0.11327090250420747,0.4684508128365,0.06578626906518571
0.12013581565549863,0.4968418124196,0.06804627751379615
0.12700072880678978,0.5252328120027,0.07093695896261289
0.13386564195808093,0.5536238115858,0.07368837030619807
0.14073055510937205,0.5820148111689,0.0773994229891198
0.1475954682606632,0.610405810752,0.08068796893461784
0.15446038141195434,0.6387968103350999,0.08337532016215575
0.16132529456324549,0.6671878099181999,0.09337064947717917
0.16819020771453666,0.6955788095013,0.09649162785548304
0.17505512086582778,0.7239698090844,0.10711142385724609
0.1819200340171189,0.7523608086674999,0.12745276156014657
0.18878494716841007,0.7807518082506,0.13025312087185556
0.19564986031970122,0.8091428078337,0.1409563481049285
0.20251477347099234,0.8375338074167998,0.14494405620758366
0.20937968662228348,0.8659248069998999,0.1466105462319627
0.21624459977357463,0.8943158065829999,0.1595895370585461
0.22310951292486578,0.9227068061660999,0.16937991154179297
0.22997442607615695,0.9510978057492,0.17092937040037406
0.2368393392274481,0.9794888053323,0.18174350441499282
0.24370425237873924,1.0078798049154,0.1951311934592665
0.2505691655300304,1.0362708044985,0.19912280404484345
0.25743407868132145,1.0646618040815998,0.21475487563573029
0.26429899183261263,1.0930528036646998,0.2279892158589661
0.27116390498390375,1.1214438032477998,0.24879799758426954
0.278028818135195,1.1498348028309,0.2586334536334659
0.2848937312864861,1.178225802414,0.2847705947154885
0.2917586444377772,1.2066168019971,0.3120831428159536
0.2986235575890684,1.2350078015802,0.3269581481890507
0.3054884707403595,1.2633988011633,0.3561238758809797
0.3123533838916507,1.2917898007464,0.40256166760185635
0.3192182970429418,1.3201808003295,0.43347007195892784
0.3260832101942329,1.3485717999126,0.4585756942066028
0.3329484523297169,1.376964160065,0.49162655335185984
0.33981435243358643,1.4053592413559999,0.6059448556004987
0.346676962695528,1.433740716954,0.6521076039086512
0.3535428627993975,1.4621357982449998,0.8100783252349799
0.3604087629032671,1.490530879536,0.7833950528058178
0.36727137316520864,1.518912355134,0.8020007658671057
