frecuencia_cm-1,frecuencia_THz,energia_meV,DOS_fonones
-1.3873555875e-06,-4.1591874169665906e-08,-1.7201017041194854e-07,0.0
0.22898729117,0.006864866287061599,0.028390805739499845,1.6620397806087737e-05
0.4579759697,0.013729774166129652,0.056781783489717186,7.781440878031707e-05
0.68696464823,0.020594682045197706,0.08517276123993453,0.00019510822184184127
0.91595332676,0.027459589924265754,0.11356373899015186,0.0003472491061055245
1.1449420053,0.0343244978036336,0.14195471674160903,0.0005466340080688965
1.3739306838,0.04118940568180228,0.17034569448810685,0.000817140584862534
1.6029193624,0.048054313562968874,0.1987366722470031,0.0010069197671219473
1.8319080409,0.05491922144113755,0.2271276499935009,0.0012383289946446881
2.0608967194,0.06178412931930623,0.2555186277399987,0.0014840701915429348
2.2898853979,0.0686490371974749,0.2839096054864965,0.0016648605793083198
2.5188740765,0.0755139450786415,0.3123005832453928,0.0019646057209051666
2.747862755,0.08237885295681018,0.3406915609918906,0.0022652339938418016
2.9768514335,0.08924376083497884,0.36908253873838837,0.0025567546217759337
3.2058401121,0.09610866871614546,0.39747351649728463,0.0029118826953706653
3.4348287906,0.10297357659431412,0.4258644942437825,0.0030809465655761096
3.6638174691,0.1098384844724828,0.45425547199028027,0.0034302227179735956
3.8928061476,0.11670339235065147,0.48264644973677806,0.0037952344283860863
4.1217948262,0.12356830023181808,0.5110374274956744,0.004328016618035912
4.3507835047,0.13043320810998674,0.5394284052421721,0.00464828656370443
4.5797721832,0.13729811598815542,0.56781938298867,0.005091361193938295
4.8087608618,0.144163023869322,0.5962103607475662,0.005514896262501938
5.0377495403,0.1510279317474907,0.624601338494064,0.006192010510170077
5.2667382188,0.15789283962565936,0.6529923162405618,0.0068539763979150944
5.4957268974,0.16475774750682598,0.681383293999458,0.007614489244024238
5.7247155759,0.17162265538499466,0.7097742717459559,0.008806696328933435
5.9537042544,0.1784875632631633,0.7381652494924537,0.009990302141098454
6.1826929329,0.185352471141332,0.7665562272389514,0.010994736288057139
6.4116816115,0.19221737902249858,0.7949472049978477,0.011248941732372293
6.64067029,0.19908228690066726,0.8233381827443456,0.011625338041519037
6.8696589685,0.20594719477883594,0.8517291604908432,0.012131041697224523
7.0986476471,0.21281210266000256,0.8801201382497396,0.012921922061245825
7.3276363256,0.21967701053817124,0.9085111159962374,0.014112600597866374
7.5566250041,0.2265419184163399,0.9369020937427351,0.014681134977818821
7.7856136826,0.23340682629450857,0.965293071489233,0.014912352675696626
8.0146023612,0.24027173417567516,0.9936840492481291,0.01649226928420661
8.2435910397,0.24713664205384384,1.022075026994627,0.016938915137902008
8.4725797182,0.2540015499320125,1.050466004741125,0.018495397881707915
8.7015683968,0.26086645781317913,1.0788569825000212,0.019029709004954442
8.9305570753,0.26773136569134776,1.1072479602465188,0.019592040259977572
9.1595457538,0.27459627356951644,1.1356389379930167,0.021458459011493423
9.3885344324,0.28146118145068305,1.164029915751913,0.022111423948297522
9.6175231109,0.2883260893288518,1.1924208934984108,0.02345356704564525
9.8465117894,0.2951909972070204,1.2208118712449085,0.026491137793117285
10.075500468,0.302055905088187,1.2492028490038047,0.028315636932742468
10.304489146,0.3089208129513661,1.2775938266883105,0.029341454540176542
10.533477825,0.3157857208445244,1.3059848044968005,0.031922282877191295
10.762466504,0.3226506287376827,1.3343757823052904,0.03448023876843736
10.991455182,0.3295155366008617,1.362766759989796,0.03660936791089184
11.220443861,0.33638044449402,1.391157737798286,0.043977189136747134
11.449432539,0.34324535235719905,1.4195487154827917,0.04986072827443177
11.678421218,0.35011026025035735,1.4479396932912816,0.05780277649013474
11.907409896,0.35697516811353647,1.4763306709757873,0.06432266922718455
12.136398575,0.3638400760066947,1.5047216487842772,0.06394786940396277
12.365387253,0.37070498386987377,1.5331126264687829,0.06228338042090168
12.594375932,0.3775698917630321,1.561503604277273,0.06119671780578707
12.82336461,0.38443479962621113,1.5898945819617787,0.06306609024329897
13.052353289,0.3912997075193694,1.6182855597702683,0.06985587379246638
13.281341967,0.39816461538254844,1.646676537454774,0.07908987739909987
13.510330646,0.40502952327570674,1.6750675152632641,0.08460422771170464
