energia_eV,E_minus_EF_eV,energia_meV,DOS_electronica
-17.0,-25.924,-25924.0,0.0
-16.98,-25.904,-25904.0,0.0
-16.96,-25.884,-25884.0,0.0
-16.94,-25.864,-25864.0,0.0
-16.92,-25.844,-25844.0,0.0
-16.9,-25.823999999999998,-25823.999999999996,0.0
-16.88,-25.804,-25804.0,0.0
-16.86,-25.784,-25784.0,0.0
-16.84,-25.764,-25764.0,0.0
-16.82,-25.744,-25744.0,0.0
-16.8,-25.724,-25724.0,0.0
-16.78,-25.704,-25704.0,0.0
-16.76,-25.684,-25684.0,0.0
-16.74,-25.663999999999998,-25663.999999999996,0.0
-16.72,-25.644,-25644.0,0.0
-16.7,-25.624,-25624.0,0.0
-16.68,-25.604,-25604.0,0.0
-16.66,-25.584,-25584.0,0.0
-16.64,-25.564,-25564.0,0.0
-16.62,-25.544,-25544.0,0.0
-16.6,-25.524,-25524.0,0.0
-16.58,-25.503999999999998,-25503.999999999996,0.0
-16.56,-25.483999999999998,-25484.0,0.0
-16.54,-25.464,-25464.0,0.0
-16.52,-25.444,-25444.0,0.0
-16.5,-25.424,-25424.0,0.0
-16.48,-25.404,-25404.0,0.0
-16.46,-25.384,-25384.0,0.0
-16.44,-25.364,-25364.0,0.0
-16.42,-25.344,-25344.0,0.0
-16.4,-25.323999999999998,-25323.999999999996,0.0
-16.38,-25.304,-25304.0,0.0
-16.36,-25.284,-25284.0,0.0
-16.34,-25.264,-25264.0,0.0
-16.32,-25.244,-25244.0,0.0
-16.3,-25.224,-25224.0,0.0
-16.28,-25.204,-25204.0,0.0
-16.26,-25.184,-25184.0,0.0
-16.24,-25.163999999999998,-25163.999999999996,0.0
-16.22,-25.144,-25144.0,0.0
-16.2,-25.124,-25124.0,0.0
-16.18,-25.104,-25104.0,0.0
-16.16,-25.084,-25084.0,0.0
-16.14,-25.064,-25064.0,0.0
-16.12,-25.044,-25044.0,0.0
-16.1,-25.024,-25024.0,0.0
-16.08,-25.003999999999998,-25003.999999999996,0.0
-16.06,-24.983999999999998,-24984.0,0.0
-16.04,-24.964,-24964.0,0.0
-16.02,-24.944,-24944.0,0.0
-16.0,-24.924,-24924.0,0.0
-15.98,-24.904,-24904.0,0.0
-15.96,-24.884,-24884.0,0.0
-15.94,-24.863999999999997,-24863.999999999996,0.0
-15.92,-24.844,-24844.0,0.0
-15.9,-24.823999999999998,-24823.999999999996,0.0
-15.88,-24.804000000000002,-24804.000000000004,0.0
-15.86,-24.784,-24784.0,0.0
-15.84,-24.764,-24764.0,0.0
-15.82,-24.744,-24744.0,0.0
-15.8,-24.724,-24724.0,0.0
-15.78,-24.704,-24704.0,0.0
-15.76,-24.683999999999997,-24683.999999999996,0.0
-15.74,-24.664,-24664.0,0.0
-15.72,-24.644,-24644.0,0.0
-15.7,-24.624,-24624.0,0.0
-15.68,-24.604,-24604.0,0.0
-15.66,-24.584,-24584.0,0.0
-15.64,-24.564,-24564.0,0.0
-15.62,-24.543999999999997,-24543.999999999996,0.0
-15.6,-24.524,-24524.0,0.0
-15.58,-24.503999999999998,-24503.999999999996,0.0
-15.56,-24.484,-24484.0,0.0
-15.54,-24.464,-24464.0,0.0
-15.52,-24.444,-24444.0,0.0
-15.5,-24.424,-24424.0,0.0
-15.48,-24.404,-24404.0,0.0
-15.46,-24.384,-24384.0,0.0
-15.44,-24.363999999999997,-24363.999999999996,0.0
-15.42,-24.344,-24344.0,0.0
-15.4,-24.323999999999998,-24323.999999999996,0.0
-15.38,-24.304000000000002,-24304.000000000004,0.0
-15.36,-24.284,-24284.0,0.0
-15.34,-24.264,-24264.0,0.0
-15.32,-24.244,-24244.0,0.0
-15.3,-24.224,-24224.0,0.0
-15.28,-24.204,-24204.0,0.0
-15.26,-24.183999999999997,-24183.999999999996,0.0
-15.24,-24.164,-24164.0,0.0
-15.22,-24.144,-24144.0,0.0
-15.2,-24.124,-24124.0,0.0
-15.18,-24.104,-24104.0,0.0
-15.16,-24.084,-24084.0,0.0
-15.14,-24.064,-24064.0,0.0
-15.12,-24.043999999999997,-24043.999999999996,0.0
-15.1,-24.024,-24024.0,0.0
-15.08,-24.003999999999998,-24003.999999999996,0.0
-15.06,-23.984,-23984.0,0.0
-15.04,-23.964,-23964.0,0.0
-15.02,-23.944,-23944.0,0.0
-15.0,-23.924,-23924.0,0.0
-14.98,-23.904,-23904.0,0.0
-14.96,-23.884,-23884.0,0.0
-14.94,-23.863999999999997,-23863.999999999996,0.0
-14.92,-23.844,-23844.0,0.0
-14.9,-23.823999999999998,-23823.999999999996,0.0
-14.88,-23.804000000000002,-23804.000000000004,0.0
-14.86,-23.784,-23784.0,0.0
-14.84,-23.764,-23764.0,0.0
-14.82,-23.744,-23744.0,0.0
-14.8,-23.724,-23724.0,0.0
-14.78,-23.704,-23704.0,0.0
-14.76,-23.683999999999997,-23683.999999999996,0.0
-14.74,-23.664,-23664.0,0.0
-14.72,-23.644,-23644.0,0.0
-14.7,-23.624,-23624.0,0.0
-14.68,-23.604,-23604.0,0.0
-14.66,-23.584,-23584.0,0.0
-14.64,-23.564,-23564.0,0.0
-14.62,-23.543999999999997,-23543.999999999996,0.0
-14.6,-23.524,-23524.0,0.0
-14.58,-23.503999999999998,-23503.999999999996,0.0
-14.56,-23.484,-23484.0,0.0
-14.54,-23.464,-23464.0,0.0
-14.52,-23.444,-23444.0,0.0
-14.5,-23.424,-23424.0,0.0
-14.48,-23.404,-23404.0,0.0
-14.46,-23.384,-23384.0,0.0
-14.44,-23.363999999999997,-23363.999999999996,0.0
-14.42,-23.344,-23344.0,0.0
-14.4,-23.323999999999998,-23323.999999999996,0.0
-14.38,-23.304000000000002,-23304.000000000004,0.0
-14.36,-23.284,-23284.0,0.0
-14.34,-23.264,-23264.0,0.0
-14.32,-23.244,-23244.0,0.0
-14.3,-23.224,-23224.0,0.0
-14.28,-23.204,-23204.0,0.0
-14.26,-23.183999999999997,-23183.999999999996,0.0
-14.24,-23.164,-23164.0,0.0
-14.22,-23.144,-23144.0,0.0
-14.2,-23.124,-23124.0,0.0
-14.18,-23.104,-23104.0,0.0
-14.16,-23.084,-23084.0,0.0
-14.14,-23.064,-23064.0,0.0
-14.12,-23.043999999999997,-23043.999999999996,0.0
-14.1,-23.024,-23024.0,0.0
-14.08,-23.003999999999998,-23003.999999999996,0.0
-14.06,-22.984,-22984.0,0.0
-14.04,-22.964,-22964.0,0.0
-14.02,-22.944,-22944.0,0.0
-14.0,-22.924,-22924.0,0.0
-13.98,-22.904,-22904.0,0.0
-13.96,-22.884,-22884.0,0.0
-13.94,-22.863999999999997,-22863.999999999996,0.0
-13.92,-22.844,-22844.0,0.0
-13.9,-22.823999999999998,-22823.999999999996,0.0
-13.88,-22.804000000000002,-22804.000000000004,0.0
-13.86,-22.784,-22784.0,0.0
-13.84,-22.764,-22764.0,0.0
-13.82,-22.744,-22744.0,0.0
-13.8,-22.724,-22724.0,0.0
-13.78,-22.704,-22704.0,0.0
-13.76,-22.683999999999997,-22683.999999999996,0.0
-13.74,-22.664,-22664.0,0.0
-13.72,-22.644,-22644.0,0.0
-13.7,-22.624,-22624.0,0.0
-13.68,-22.604,-22604.0,0.0
-13.66,-22.584,-22584.0,0.0
-13.64,-22.564,-22564.0,0.0
-13.62,-22.543999999999997,-22543.999999999996,0.0
-13.6,-22.524,-22524.0,0.0
-13.58,-22.503999999999998,-22503.999999999996,0.0
-13.56,-22.484,-22484.0,0.0
-13.54,-22.464,-22464.0,0.0
-13.52,-22.444,-22444.0,0.0
-13.5,-22.424,-22424.0,0.0
-13.48,-22.404,-22404.0,0.0
-13.46,-22.384,-22384.0,0.0
-13.44,-22.363999999999997,-22363.999999999996,0.0
-13.42,-22.344,-22344.0,0.0
-13.4,-22.323999999999998,-22323.999999999996,0.0
-13.38,-22.304000000000002,-22304.000000000004,0.0
-13.36,-22.284,-22284.0,0.0
-13.34,-22.264,-22264.0,0.0
-13.32,-22.244,-22244.0,0.0
-13.3,-22.224,-22224.0,0.0
-13.28,-22.204,-22204.0,0.0
-13.26,-22.183999999999997,-22183.999999999996,0.0
-13.24,-22.164,-22164.0,0.0
-13.22,-22.144,-22144.0,0.0
-13.2,-22.124,-22124.0,0.0
-13.18,-22.104,-22104.0,0.0
-13.16,-22.084,-22084.0,0.0
-13.14,-22.064,-22064.0,0.0
-13.12,-22.043999999999997,-22043.999999999996,0.0
-13.1,-22.024,-22024.0,0.0
-13.08,-22.003999999999998,-22003.999999999996,0.0
-13.06,-21.984,-21984.0,0.0
-13.04,-21.964,-21964.0,0.0
-13.02,-21.944,-21944.0,0.0
-13.0,-21.924,-21924.0,0.0
-12.98,-21.904,-21904.0,0.0
-12.96,-21.884,-21884.0,0.0
-12.94,-21.863999999999997,-21863.999999999996,0.0
-12.92,-21.844,-21844.0,0.0
-12.9,-21.823999999999998,-21823.999999999996,0.0
-12.88,-21.804000000000002,-21804.000000000004,0.0
-12.86,-21.784,-21784.0,0.0
-12.84,-21.764,-21764.0,0.0
-12.82,-21.744,-21744.0,0.0
-12.8,-21.724,-21724.0,0.0
-12.78,-21.704,-21704.0,0.0
-12.76,-21.683999999999997,-21683.999999999996,0.0
-12.74,-21.664,-21664.0,0.0
-12.72,-21.644,-21644.0,0.0
-12.7,-21.624,-21624.0,0.0
-12.68,-21.604,-21604.0,0.0
-12.66,-21.584,-21584.0,0.0
-12.64,-21.564,-21564.0,0.0
-12.62,-21.543999999999997,-21543.999999999996,0.0
-12.6,-21.524,-21524.0,0.0
-12.58,-21.503999999999998,-21503.999999999996,0.0
-12.56,-21.484,-21484.0,0.0
-12.54,-21.464,-21464.0,0.0
-12.52,-21.444,-21444.0,0.0
-12.5,-21.424,-21424.0,0.0
-12.48,-21.404,-21404.0,0.0
-12.46,-21.384,-21384.0,0.0
-12.44,-21.363999999999997,-21363.999999999996,0.0
-12.42,-21.344,-21344.0,0.0
-12.4,-21.323999999999998,-21323.999999999996,0.0
-12.38,-21.304000000000002,-21304.000000000004,0.0
-12.36,-21.284,-21284.0,0.0
-12.34,-21.264,-21264.0,0.0
-12.32,-21.244,-21244.0,0.0
-12.3,-21.224,-21224.0,0.0
-12.28,-21.204,-21204.0,0.0
